ResponseId,best_tip
R_0DNcJqALC3UG9Db,2
R_0HbfbDtnkUIRbvH,2
R_0cVkkjfJMy8V6P7,3
R_10OZ3Fgz4TJo8Vx,2
R_11WSDnMOeKXakQH,2
R_123e6jlQ1R0CGkh,1
R_12Lv8qnpFy9Vt0s,3
R_1BQVkCPZyTFXQaL,1
R_1CEdzKzXvEFRwtq,3
R_1DNlxcyIJQxO8jg,0
R_1DTlESDOiU8nily,0
R_1DqJgEYSkQl7Ulo,2
R_1DvfhLeSbNEGq0b,0
R_1FCzsHxxuhIvnad,2
R_1FeTRLYeZzRxepn,2
R_1FhuGk6Ja6v8mxL,1
R_1GNat0Q3zmKqabj,2
R_1GU2DxaURziUl8i,3
R_1HkpWRWifgOpdIT,3
R_1I3MTrDoE4fBwpQ,0
R_1IE50ka8QFnqQrf,1
R_1IFOWjEN0TEG7FU,3
R_1IgeghWdiLoMtm9,2
R_1IzRbcLhXxCPBGE,1
R_1JDSVNry9Dw9OT9,3
R_1KrTfyJO6LX7hsU,1
R_1KwNCOteI8rcowC,3
R_1LAmtqZrkrvyl40,3
R_1NgeGeW3ExOhIsl,1
R_1OUEvux30zGdV3s,1
R_1dLX1e0o3xF4fti,3
R_1dphsXYOrVjSMGD,0
R_1eKLL4nobKHyw2j,2
R_1eLZA3IDsi3RUge,2
R_1eXcWDSVMO4XL8p,3
R_1eranYjddcjp4vq,2
R_1ifgRCzUnwMW1gc,3
R_1jALqhknlEKNIx2,1
R_1jIoNyYKciQkR2w,3
R_1jlIbP2WR6xeXmt,2
R_1jxeXKoTKmuvxcz,1
R_1kMqYd7KUqyvmFS,1
R_1kS0KWOJxfXHfL2,2
R_1kYppauuWao32vX,1
R_1kZJeCfeXJjSJew,0
R_1mWcWNsVEOoSdGu,2
R_1mf0arbC2WgpQmQ,2
R_1ml5jToxLfueJDR,3
R_1nMV7xu1DGIhm8T,1
R_1nTINZnxAUeBT3r,3
R_1pDuVrEJ4gF9R62,0
R_1pS6SEajZ1ajzOJ,1
R_1r93FkMqr78sUqZ,1
R_1rDmSlvqdL17ICf,2
R_1rOBDipfSFPXXJ8,2
R_1zZ1Zbsfk7q6Z1L,2
R_20S7nrMJcnieQQg,3
R_21B2TTundn8DobX,3
R_21h1KqCOrEegEqe,0
R_21ociCfXi9dhDmH,1
R_22Gt0Tv5m7qkLTS,3
R_22zf9m2HShmluVb,3
R_239JaAprEEJYMBt,2
R_240H57vHsEgbNeJ,3
R_24Gk7qzzM7KUowW,3
R_25EmCnri1wbFt1z,3
R_25MmQnTQj2pXtG0,3
R_25ZWhLra7nuBklc,3
R_26eU7VCaWVED46M,3
R_26hCqbDZuWWEy6n,3
R_26hePPgMTq88hXL,0
R_27CNq7250FOnQBF,3
R_27EBKZ3CqKDmalX,1
R_27PPefScfOsJaMM,0
R_27f1w9AgUrIyor9,2
R_27jsBgakYmQPTrm,2
R_27kFdbEmwF38nxW,0
R_2AMSe9rY171xVDq,0
R_2BaqicOUiRQ4zch,0
R_2BtXDEoyU50vIoW,2
R_2EB75Kq7q4gyBXv,0
R_2EuEE9cy4JLpwnc,3
R_2PAv01GcKM5dlNt,3
R_2Pcz5rhsRtUtK69,3
R_2PpB9CywXsWhO0Y,1
R_2PsOcX55zVic7zo,1
R_2Pty1Ct4dufW0AS,1
R_2QLOrznWnYyzvRB,2
R_2QRmkeSHoSWNRRk,1
R_2QYUS6HNC83m55D,1
R_2Qh3oGG5LOAUpAY,2
R_2QmTUNiMRFgCYEv,0
R_2QmoU1bwH81BIb8,3
R_2QrdDDHOdD8rC3z,0
R_2S2lGtlDiLTabkN,2
R_2SCxLcmE0JjtYCc,0
R_2TRHwSXlWXoBFtl,0
R_2TS56qr52g2IEiA,2
R_2TpBFqttAWcnAaF,3
R_2U8Xtflcwiyh1X9,2
R_2VBKIw34G8mU2fv,1
R_2VCpMmNmH86IrAd,3
R_2VF5HGRijAzPImK,3
R_2VjN035t58p6oD7,3
R_2WBEBN5vNFtPyEr,0
R_2Y4GJjsnwepcCRU,1
R_2Yg1VJrnusl9XTH,2
R_2YyvLtlebcgjN9l,0
R_2ZUiaWhylHcI20c,3
R_2ah58hIaz8vvKtV,1
R_2arahubGsMi5i8j,0
R_2bZWiAzREMOliC1,3
R_2cCNv1sl7nW1dBO,2
R_2f7Mt8pfmKtWVYI,3
R_2fwld47WMLzybcN,2
R_2qe0Z45J20vpWkW,1
R_2rVC2DYjD2kBdBi,0
R_2ro8WpAuYONXjCT,1
R_2t37T7Yc26eu1ZI,1
R_2t5vsdu00mQlvta,1
R_2tGqrGdVrWtd8Cs,2
R_2tnZaUntSE6FNjf,2
R_2xRfmttmDRlaBhD,2
R_2xRl2VfVsQ9I7ag,0
R_2xygLJEtz0xYyYT,3
R_2zD8MLHKjLvMGyo,2
R_2zZ0QPGYnFlfUfV,3
R_2zqg8KWEtSu9bvz,1
R_2zupKBNNMmNFK9E,3
R_31Zx2xCCVBemiWf,0
R_31nphRgCwzDDipC,2
R_322YPJrevXL2inF,2
R_33jq22JlBsUldXO,1
R_33lJN3rpLyNzXOi,2
R_33qJToBCtQeZ1U8,0
R_3CDWzSpFfLM3oUk,0
R_3DbvUhoepmcAVR6,1
R_3DkcsXoytnyKuB7,2
R_3EF2jj6VqfT4YVK,1
R_3F4oHzwGQNLpVCY,0
R_3IQVrEkD4fVKV9D,2
R_3J8J0dCoNImlBPn,0
R_3Jau9s82At6cikC,3
R_3KvIfHG6TDlrKwF,3
R_3MFgsf0dBMYOEwR,1
R_3MbXK94rx6yInVw,2
R_3NDM3UeiWo4HwtZ,2
R_3NRrir0U0ILfUUl,3
R_3NxEB5B4fyj9qMK,2
R_3Opu7OMb9h19G6i,1
R_3PgUDbeCvKYXs2c,1
R_3PnTI3cvFZ13rLr,2
R_3Pwahbp3m3Xm2qm,2
R_3RlTmhu5NCPlAcq,0
R_3Rx4B6Pee10vjYE,1
R_3UVPFuCGNevt5fP,1
R_3dKusWKH1A4Gyty,1
R_3dLc53OHRQl0Ldj,0
R_3ehlRj9eMCZabe4,2
R_3eqN0g3h4WM4zbe,1
R_3fB5iQ9qdJzPzsq,2
R_3fN3G7uMSpSYuXd,2
R_3frg1enON0LIt4N,3
R_3hgB9pS361imWLS,2
R_3hlQcz8pE3ZR1X0,3
R_3iOnBqq4UEoUoTb,3
R_3j26sbPDVyciOqZ,2
R_3kaJv6m48ImBCij,2
R_3kh4pN0euar4Pxl,3
R_3kmLbLmkbB178ZI,1
R_3lLHxwTfYCTPZeq,2
R_3maQUn1SeOmD7BR,3
R_3nTT0UHa1eK7Sy7,0
R_3ozn8Z5PqV63aMq,1
R_3pmz0hsSqxb13sl,1
R_3pnFSZiJwVT1syy,0
R_3r0N0v5twpbVYSF,1
R_3rJ3zRU0eXW9CCF,3
R_3rMmYY51gGeZOcW,1
R_3rYZHsovskVKppc,2
R_3rZp2BTjwcnNGPw,0
R_3sbtH3nPjFYlQsx,1
R_3sc5QXqKfbXcthq,3
R_3yK3U1g0AtJDEMV,3
R_5bgGXKmRAOj0TBL,3
R_6DSUPyW0ei2h1n3,1
R_6nkaQeVEaXYFMgV,3
R_6rDXnc7FeUTcXa9,2
R_87mdy8NqaotNmCt,0
R_8H7VCg0tqEcp0it,3
R_9HA2yakRMVisF0J,3
R_9QTOreltYbUPr8d,0
R_A1oG16AJvZZ6rnP,0
R_ANcs0o30tR7ZQ1X,1
R_Ab69w0RwsIgzQWJ,3
R_AmMsiVGHA19Aa65,0
R_AzFfGQBA5hYaFKp,0
R_C9nDxszLzHLJUFX,2
R_D0DYG3WCEGnsaFb,0
R_D2DmS9cGd8fgm1H,2
R_DiC4adFSNqqq2zv,0
R_NX5n5OFq6YiQBTb,3
R_O22Rc89VgQAkM8x,2
R_OEeSovjdEbiRGG5,2
R_OoKBdq2PmR0OJsB,1
R_PMrJRJXM2EQXIIN,3
R_Q63Z3gnF7l9dwBP,1
R_Qcae5pFuhTrEC8p,2
R_R4vwwPbhlPcUkw1,3
R_RElq0Da0R5awmMV,0
R_RwVIRImz9JpqOMF,2
R_SBmDEnC3iogEPRf,2
R_To96mXnaHAa6gmJ,3
R_UfqAY6Tqddcf2et,1
R_UmDaTr9SuYCPc1X,3
R_VQl6lGhb8J9jI3L,3
R_WrNZu3wYxs6wHQd,0
R_Zad3RcKij9bIX2p,1
R_Zh4GSPOP4ZdzlXX,1
R_ac3jYVZN2a2IMSt,0
R_bJjlUFwtFaH6eKl,3
R_bg6HWoBeXltUpR7,0
R_cGFflmjt31fI9rj,2
R_eWqSGPECF5WgWfD,2
R_eXIJw6uOCxUvYeR,0
R_pLhZT4tYNxo97oJ,3
R_pSEMhrFUoz80bh7,0
R_pu52P8W8jw0LVOF,1
R_puDM4eNFJEQtbSp,2
R_pxybpwzurwsvHOx,0
R_qwH24CdEQKZvFrH,3
R_r14KQi9lk3v4x8d,1
R_sczeqFlCRT5IXtL,1
R_tPrh8VqPRUxUFUJ,3
R_uh4FQgECTBDB28h,3
R_uqNx7GpwF1WxQAN,0
R_w02fQy5jAKKztD3,2
R_wYIoenqefos6uYx,0
R_xlnJEPOkxxHspJT,2
R_yNJaIImQ7EY3J5v,1
R_yqY6xKo4dUHco6d,1
R_yrKr3inrXDL5Lvb,0
R_z6DSJfELElPHABP,3
